Sona,SubjID,Strategy,Gsize,Duration,Room,Date,Initials,Compliance,Notes,TeamStatus,SessionStatus,535,333,6,0
TOT,52,Synchronic,2,25,George,2/6/2017,HS,5,,,,,,,
TOT,53,Diachronic,,25,Elaine,2/6/2017,HS,5,,,,,,,
TOT,54,Diachronic,,25,Elaine,2/6/2017,HS,5,,,,,,,
TOT,57,Synchronic,2,25,Kramer,2/6/2017,HS,5,,,,,,,
TOT,58,Synchronic,2,25,George,2/6/2017,HS,5,,,,,,,
TOT,56,Diachronic,,25,Elaine,2/6/2017,HS,5,,,,,,,
TOT,55,Diachronic,,25,Jerry,2/6/2017,HS,5,,,,,,,
TOT,59,Synchronic,2,25,Kramer,2/6/2017,JR,5,,,,,,,
TOT,60,Synchronic,2,25,George,2/6/2017,JR,5,,,,,,,
TOT,61,Diachronic,,25,Elaine,2/6/2017,JR,5,,,,,,,
TOT,62,Synchronic,2,25,Kramer,2/6/2017,JR,5,,,,,,,
TOT,63,Synchronic,2,25,George,2/6/2017,JR,5,,,,,,,
TOT,64,Synchronic,2,25,Kramer,2/7/2017,HS,5,,,,,,,
TOT,65,Synchronic,2,25,George,2/7/2017,HS,5,,,,,,,
TOT,66,Diachronic,,25,Elaine,2/7/2017,HS,5,,,,,,,
TOT,69,Synchronic,2,25,George,2/9/2017,MP,5,,,,,,,
TOT,70,Synchronic,2,25,Jerry,2/9/2017,MP,5,,,,,,,
TOT,71,Diachronic,,25,Kramer,2/10/2017,MP,5,,,,,,,
TOT,72,Synchronic,2,25,George,2/10/2017,MP,5,,,,,,,
TOT,73,Diachronic,,25,Elaine,2/10/2017,MP,5,,,,,,,
TOT,74,Synchronic,2,25,Jerry,2/10/2017,MP,5,,,,,,,
TOT,76,Synchronic,2,25,George,2/10/2017,ZH,5,,,,,,,
TOT,79,Synchronic,2,25,George,2/10/2017,ZH,5,"
",,,,,,
TOT,78,Synchronic,2,25,Jerry,2/10/2017,ZH,5,,,,,,,
TOT,80,Synchronic,2,25,Jerry,2/10/2017,ZH,5,,,,,,,
TOT,75,Diachronic,,25,Kramer,2/10/2017,ZH,5,,,,,,,
"
TOT",81,Diachronic,,25,Elaine,2/10/2017,ZH,5,,,,,,,
TOI,83,Isolated,,25,Kramer,2/14/2017,ZH,5,,,,,,,
TOI,84,Isolated,,25,George,2/14/2017,ZH,5,,,,,,,
TOI,85,Isolated,,25,Elaine,2/14/2017,ZH,5,,,,,,,
TOT,86,Diachronic,,25,Kramer,2/14/2017,ZH,5,,,,,,,
TOT,88,Diachronic,,25,Elaine,2/14/2017,ZH,5,,,,,,,
TOT,89,Diachronic,,25,Elaine,2/14/2017,ZH,5,,,,,,,
TOT,91,Diachronic,,25,Kramer,2/15/2017,ZH,5,,,,,,,
TOT,90,Diachronic,,25,George,2/15/2017,ZH,5,,,,,,,
TOT,93,Diachronic,,25,Elaine,2/15/2017,ZH,5,,,,,,,
TOT,92,Diachronic,,25,Jerry,2/15/2017,ZH,5,,,,,,,
TOT,95,Diachronic,,25,George,2/16/2017,JR,5,visibly frustrated but fully participated,,,,,,
TOT,96,Diachronic,,25,Elaine,2/16/2017,JR,5,,,,,,,
TOT,97,Diachronic,,25,George,2/16/2017,JR,5,,,,,,,
TOT,98,Diachronic,,25,Kramer,2/16/2017,HS,5,,,,,,,
TOT,99,Synchronic,2,25,Kramer,2/20/2017,HS,5,,,,,,,
TOT,100,Synchronic,2,25,George,2/20/2017,HS,5,,,,,,,
TOT,101,Diachronic,,25,Elaine,2/20/2017,HS,5,,,,,,,
TOT,102,Synchronic,2,25,Kramer,2/20/2017,HS,5,,,,,,,
TOT,103,Synchronic,2,25,George,2/20/2017,HS,5,,,,,,,
TOT,104,Synchronic,2,25,Kramer,2/20/2017,ZH,5,,,,,,,
TOT,105,Synchronic,2,25,George,2/20/2017,ZH,5,,,,,,,
TOT,106,Diachronic,,25,Elaine,2/20/2017,ZH,5,,,,,,,
TOT,107,Diachronic,,25,Jerry,2/20/2017,ZH,5,,,,,,,
TOT,108,Synchronic,2,25,Kramer,2/20/2017,ZH,5,,,,,,,
TOT,110,Synchronic,2,25,George,2/20/2017,ZH,5,,,,,,,
TOT,109,Diachronic,,25,Elaine,2/20/2017,ZH,5,,,,,,,
TOT,111,Diachronic,,25,Jerry,2/20/2017,ZH,5,,,,,,,
TOT,112,Synchronic,2,25,Kramer,2/20/2017,ZH,5,,,,,,,
TOT,114,Synchronic,2,25,George,2/20/2017,ZH,5,,,,,,,
TOT,113,Diachronic,,25,Elaine,2/20/2017,ZH,5,,,,,,,
TOT,115,Synchronic,2,25,Kramer,2/23/2017,HS,5,,,,,,,
TOT,116,Synchronic,2,25,George,2/23/2017,HS,5,,,,,,,
TOT,117,Diachronic,,25,Elaine,2/23/2017,HS,5,,,,,,,
TOT,118,Diachronic,,25,George,2/24/2017,MP,5,,,,,,,
TOT,119,Diachronic,,25,Elaine,2/24/2017,MP,5,Needed instructions given to him a second time after game started,,,,,,
TOT,120,Diachronic,,25,George,2/24/2017,MP,5,,,,,,,
TOT,121,Diachronic,,25,Elaine,2/24/2017,MP,5,,,,,,,
TOT,124,Diachronic,,25,Elaine,3/1/2017,ZH,5,,,,,,,
TOT,125,Diachronic,,25,Elaine,3/1/2017,ZH,5,,,,,,,
TOT,126,Diachronic,,25,Kramer,3/1/2017,ZH,5,,,,,,,
TOT,128,Diachronic,,25,Kramer,3/1/2017,ZH,5,,,,,,,
TOT,129,Diachronic,,25,George,3/1/2017,ZH,5,,,,,,,
TOT,130,Diachronic,,25,Elaine,3/1/2017,ZH,5,,,,,,,
TOT,132,Diachronic,,25,Kramer,3/10/2017,SF,5,,,,,,,
TOT,133,Synchronic,2,25,George,3/10/2017,SF,5,"Game froze midway through, unable to complete experiment or take survey",,,,,,
TOT,134,Synchronic,2,25,Elaine,3/10/2017,SF,5,"Game froze midway through, unable to complete experiment or take survey",,,,,,
TOI,138,Isolated,,25,Kramer,3/10/2017,SF,5,Game continued on after hour mark and participant had to leave.  Did not take the survey.,,,,,,
TOT,136,Diachronic,,25,George,3/10/2017,SF,5,Needs to be discarded because inherited 135,,,,,,
TOT,137,Diachronic,,25,Elaine,3/10/2017,SF,5,,,,,,,
TOT,135,Diachronic,,25,Jerry,3/10/2017,SF,5,,,,,,,
TOT,139,Diachronic,,25,George,3/10/2017,SF,5,,,,,,,
TOT,140,Diachronic,,25,Elaine,3/10/2017,SF,5,,,,,,,
TOT,147,Diachronic,,25,Elaine,3/13/2017,JR,5,,,,,,,
TOT,148,Diachronic,,25,Kramer,3/13/2017,MP,5,,,,,,,
TOT,149,Diachronic,,25,George,3/14/2017,JR,5,,,,,,,
TOT,150,Diachronic,,25,Elaine,3/14/2017,JR,5,,,,,,,
TOT,152,Synchronic,2,25,Kramer,3/16/2017,SF,5,,,,,,,
TOT,151,Synchronic,2,25,George,3/16/2017,SF,5,,,,,,,
TOT,153,Diachronic,,25,Elaine,3/16/2017,SF,5,,,,,,,
TOT,154,Diachronic,,25,Jerry,3/16/2017,SF,5,,,,,,,
TOT,155,Diachronic,,25,George,3/27/2017,HS,5,,,,,,,
TOI,156,Isolated,,25,George,3/29/2017,ZH,5,,,,,,,
TOT,157,Synchronic,2,25,George,3/31/2017,SF,5,"Game froze, didnt finish or take survey",no_guesses,,,,,
TOT,159,Diachronic,,25,Elaine,3/31/2017,SF,5,,,,,,,
TOT,158,Synchronic,2,25,Jerry,3/31/2017,SF,5,"Couldnt finish or take survey , game froze mid way through",no_guesses,,,,,
TOT,167,Diachronic,,25,Kramer,3/31/2017,SF,5,,,,,,,
TOT,171,Diachronic,,25,George,3/31/2017,SF,5,,,,,,,
TOT,172,Diachronic,,25,Elaine,3/31/2017,SF,5,,,,,,,
TOT,173,Diachronic,,25,Jerry,3/31/2017,SF,5,,,,,,,
TOT,174,Synchronic,2,25,Kramer,4/3/2017,HS,5,,,,,,,
TOT,175,Synchronic,2,25,George,4/3/2017,HS,5,,,,,,,
TOT,176,Synchronic,2,25,Kramer,4/3/2017,HS,5,,,,,,,
TOT,177,Synchronic,2,25,George,4/3/2017,HS,5,,,,,,,
TOT,178,Diachronic,,25,Kramer,4/4/2017,HS,5,,,,,,,
TOT,179,Synchronic,2,25,Kramer,4/4/2017,HS,5,Said he loved the game and wants to do it in his free time,,,,,,
TOT,180,Synchronic,2,25,George,4/4/2017,HS,5,,,,,,,
TOI,181,Isolated,,25,Kramer,4/5/2017,ZH,5,,,,,,,
TOI,182,Isolated,,25,George,4/5/2017,ZH,5,,,,,,,
TOI,183,Isolated,,25,Kramer,4/5/2017,ZH,5,,,,,,,
TOI,184,Isolated,,25,Kramer,4/7/2017,SF,5,,,,,,,
TOI,185,Isolated,,25,Kramer,4/7/2017,SF,5,Got frustrated but participated fully ,,,,,,
TOT,186,Diachronic,,25,George,4/11/2017,HS,5,Computer went off before end of the time,,,,,,
TOI,187,Isolated,,25,Kramer,4/12/2017,ZH,5,,,,,,,
TOI ,188,Isolated,,25,George,4/12/2017,ZH,5,,,,,,,
TOI,189,Isolated,,25,Elaine,4/12/2017,ZH,5,,,,,,,
TOI,190,Isolated,,25,Kramer,4/12/2017,ZH,5,,,,,,,
TOI,191,Isolated,,25,George,4/12/2017,ZH,5,,,,,,,
TOI,192,Isolated,,25,Elaine,4/12/2017,ZH,5,,,,,,,
TOI,193,Isolated,,25,Kramer,4/13/2017,MP,3,"Sat for ~5 minutes just staring at the screen, then basically just gave up in the end",,,,,,
TOT,195,Diachronic,,25,Kramer,4/14/2017,SF,5,,,,,,,
TOT,194,Diachronic,,25,George,4/14/2017,SF,5,,,,,,,
TOT,196,Diachronic,,25,Elaine,4/14/2017,SF,5,,,,,,,
TOT,197,Diachronic,,25,Kramer,4/14/2017,SF,5,,,,,,,
TOT,198,Diachronic,,25,Elaine,4/14/2017,SF,5,,,,,,,
TOT,199,Diachronic,,25,Elaine,4/18/2017,JR,5,,,,,,,
TOT,200,Diachronic,,25,Kramer,4/21/2017,SF,5,,,,,,,
TOT,201,Isolated,,25,kramer,4/21/2017,ZH,5,I accidently set them up as Isolated and didn't realize until 40 min later- they couldn't stay the whole time.,,error,,,,
TOT,203,Diachronic,,25,kramer,4/21/2017,ZH,5,"Set up another as Isolated, just like previous experiment, but got participant started on diachronic condition.",,,,,,
TOT,204,Synchronic,2,25,George,4/24/2017,JR,5,,,,,,,
TOT,205,Synchronic,2,25,Elaine,4/24/2017,JR,5,,,,,,,
TOT,206,Diachronic,,25,Jerry,4/24/2017,JR,5,,,,,,,
TOT,207,Diachronic,,25,kramer,4/25/2017,SF,5,,,,,,,
TOT,208,Diachronic,,25,George,4/25/2017,JR,5,,,,,,,
TOT,209,Diachronic,,25,kramer,4/27/2017,SF,5,,,,,,,
TOT,210,Diachronic,,25,Elaine,4/27/2017,SF,5,,,,,,,
TOT,211,Synchronic,2,25,Kramer,4/28/2017,HS,5,,,,,,,
TOT,212,Synchronic,2,25,George,4/28/2017,HS,5,,,,,,,
TOT,213,Diachronic,,25,Kramer,4/28/2017,HS,5,,,,,,,
TOT,214,Diachronic,,25,George,5/1/2017,HS,5,,,,,,,
TOT,215,Diachronic,,25,George,5/1/2017,HS,3,"Stopped trying after he finished making the items the ancestor made (ancestor had 1199 points, so that took up most of his time) ",,,,,,
TOT,216,Diachronic,,25,Elaine,5/1/2017,PE,3,Didn't get up to the same level as her ancestor,,,,,,
TOT,217,Diachronic,,25,Kramer,5/1/2017,PE,5,,,,,,,
TOT,218,Synchronic,2,25,Elaine,5/1/2017,PE,5,,,,,,,
TOT,219,Synchronic,2,25,Jerry,5/1/2017,PE,5,,,,,,,
TOT,220,Synchronic,2,25,Kramer,5/2/2017,HS,5,,,,,,,
TOT,221,Synchronic,2,25,George,5/2/2017,HS,5,,,,,,,
TOT,222,Diachronic,,25,Kramer,5/3/2017,SF,5,,,,,,,
TOT,223,Diachronic,,25,Elaine,5/3/2017,PE,5,,,,,,,
TOT,224,Diachronic,,25,Elaine,5/3/2017,PE,5,,,,,,,
TOT,227,Synchronic,2,25,Elaine,5/3/2017,PE,5,,,,,,,
TOT,228,Synchronic,2,25,Kramer,5/3/2017,PE,5,,,,,,,
TOT,231,Synchronic,4,25,Kramer,5/3/2017,ZH,5,,,,,,,
TOT,232,Synchronic,4,25,George,5/3/2017,ZH,5,,,,,,,
TOT,233,Synchronic,4,25,Elaine,5/3/2017,ZH,5,,,,,,,
TOT,234,Synchronic,4,25,Jerry,5/3/2017,ZH,5,,,,,,,
TOT,235,Diachronic,,25,Kramer,5/3/2017,ZH,5,,,,,,,
TOT,236,Diachronic,,25,Kramer,5/4/2017,MP,4,took out phone near the end after making good progress,,,,,,
TOT,237,Synchronic,2,25,Kramer,5/4/2017,SF,5,,,,,,,
TOT,239,Diachronic,,25,George,5/4/2017,SF,5,,,,,,,
TOT,238,Synchronic,2,25,Elaine,5/4/2017,SF,5,,,,,,,
TOT,240,Diachronic,,25,Jerry,5/4/2017,SF,5,,,,,,,
TOT,243,Synchronic,4,25,Kramer,9/12/2017,SF,5,,,,,,,
TOT,244,Synchronic,4,25,George,9/12/2017,SF,5,,,,,,,
TOT,245,Synchronic,4,25,Elaine,9/12/2017,SF,5,,,,,,,
TOT,242,Synchronic,4,25,Jerry,9/12/2017,SF,5,,,,,,,
TOT,246,Synchronic,2,25,Kramer,9/12/2017,SF,5,,,,,,,
TOT,247,Synchronic,2,25,George,9/12/2017,SF,5,,,,,,,
TOT,248,Synchronic,4,25,Kramer,9/13/2017,SF,5,,,,,,,
TOT,249,Synchronic,4,25,George,9/13/2017,SF,5,,,,,,,
TOT,250,Synchronic,4,25,Elaine,9/13/2017,SF,5,,,,,,,
TOT,251,Synchronic,4,25,Jerry,9/13/2017,SF,5,,,,,,,
TOT,253,Synchronic,2,25,Kramer,9/13/2017,SF,5,,,,,,,
TOT,254,Diachronic,,25,George,9/13/2017,SF,5,,,,,,,
TOT,252,Synchronic,2,25,Jerry,9/13/2017,SF,5,,,,,,,
TOT,255,Synchronic,4,25,Kramer,9/14/2017,SF,5,,,,,,,
TOT,256,Synchronic,4,25,George,9/14/2017,SF,5,,,,,,,
TOT,257,Synchronic,4,25,Elaine,9/14/2017,SF,5,,,,,,,
TOT,258,Synchronic,4,25,Jerry,9/14/2017,SF,5,,,,,,,
